team,name,position,passing,rushing,receiving,date
MIA,DeVante Parker,WR,0,0,53,2020-09-10
MIA,Preston Williams,WR,0,0,26,2020-09-10
LAR,Jared Goff,QB,267,13,0,2020-09-10
LAR,Cooper Kupp,WR,0,19,81,2020-09-10
LAR,Robert Woods,WR,0,19,14,2020-09-10
LAR,Cam Akers,RB,0,13,0,2020-09-10
LAR,Tyler Higbee,TE,0,0,54,2020-09-10
LAR,Josh Reynolds,WR,0,0,33,2020-09-10
PHI,Carson Wentz,QB,242,7,0,2020-09-10
PHI,Miles Sanders,RB,0,95,36,2020-09-10
PHI,DeSean Jackson,WR,0,0,64,2020-09-10
PHI,Zach Ertz,TE,0,0,42,2020-09-10
PHI,Jalen Reagor,WR,0,0,41,2020-09-10
PHI,Greg Ward,WR,0,0,5,2020-09-10
MIN,Kirk Cousins,QB,113,0,0,2020-09-10
MIN,Dalvin Cook,RB,0,63,8,2020-09-10
MIN,Adam Thielen,WR,0,0,31,2020-09-10
MIN,Olabisi Johnson,WR,0,0,24,2020-09-10
MIN,Irv Smith Jr.,TE,0,0,3,2020-09-10
MIN,Kyle Rudolph,TE,0,0,0,2020-09-10
IND,Philip Rivers,QB,214,3,0,2020-09-10
IND,Jonathan Taylor,RB,0,101,9,2020-09-10
IND,Parris Campbell,WR,0,7,0,2020-09-10
IND,Mo Alie-Cox,TE,0,0,111,2020-09-10
IND,T.Y. Hilton,WR,0,0,28,2020-09-10
IND,Zach Pascal,WR,0,0,19,2020-09-10
WAS,Dwayne Haskins,QB,223,8,0,2020-09-10
WAS,Antonio Gibson,RB,0,55,-3,2020-09-10
WAS,Terry McLaurin,WR,0,0,125,2020-09-10
WAS,Steven Sims,WR,0,0,53,2020-09-10
WAS,Logan Thomas,TE,0,0,26,2020-09-10
WAS,Marcus Baugh,TE,0,0,2,2020-09-10
ARI,Kyler Murray,QB,286,67,0,2020-09-10
ARI,Christian Kirk,WR,0,3,57,2020-09-10
ARI,DeAndre Hopkins,WR,0,0,68,2020-09-10
ARI,Larry Fitzgerald,WR,0,0,50,2020-09-10
ARI,Dan Arnold,TE,0,0,26,2020-09-10
ARI,Darrell Daniels,TE,0,0,0,2020-09-10
BAL,Lamar Jackson,QB,204,54,0,2020-09-10
BAL,Mark Ingram,RB,0,55,22,2020-09-10
BAL,Marquise Brown,WR,0,0,42,2020-09-10
BAL,Miles Boykin,WR,0,0,38,2020-09-10
